Date,RecNum,GHI_CMP11,DNI_CHP1,DHI_CMP11,Air_Temp,BP,RH,Rain_Tot,WS,WD,WD_SD
2016/01/01 0:00,17298,0,0,0,26.28,863,32.01,0,3.144,39.11,17.06
2016/01/01 1:00,17299,0,0,0,24.84,863,36.66,0,3.037,57.08,23.29
2016/01/01 2:00,17300,0,0,0,24.16,862,41.08,0,3.575,55.13,16.67
2016/01/01 3:00,17301,0,0,0,23.45,862,44.61,0,2.837,49.99,14.38
2016/01/01 4:00,17302,0,0,0,22.57,862,48.67,0,2.144,71.3,25.43
2016/01/01 5:00,17303,0,0,0,21.87,863,53.08,0,3.016,57.62,14.82
2016/01/01 6:00,17304,16.9193,32.3229,14.2671,21.52,863,53.53,0,1.763,75.82,28.13
2016/01/01 7:00,17305,169.348,293.375,81.2465,22.8,864,50.54,0,1.286,68.29,37.04
2016/01/01 8:00,17306,253.256,226.356,162.06,23.32,864,52.24,0,2.362,12.83,26.4
2016/01/01 9:00,17307,356.387,103.839,282.41,23.62,864,44.99,0,2.39,348.1,24.03
2016/01/01 10:00,17308,653.725,189.956,491.439,25.76,864,41.54,0,2.131,315.6,33.97
2016/01/01 11:00,17309,615.721,165.09,463.465,27.75,864,32.95,0,1.557,302.6,51.03
2016/01/01 12:00,17310,835.601,426.761,410.078,29.71,863,32.05,0,2.002,279.6,47.71
2016/01/01 13:00,17311,797.597,257.539,538.945,31.24,863,29.35,0,1.366,245.8,53.19
2016/01/01 14:00,17312,721.227,251.496,484.924,30.97,862,30.73,0,1.495,268.5,53.5
2016/01/01 15:00,17313,739.934,423.223,370.293,32.81,861,29.19,0,1.13,257.9,52.14
2016/01/01 16:00,17314,416.008,170.501,296.41,32.17,860,28.85,0,1.702,269.4,51.75
2016/01/01 17:00,17315,160.681,55.1994,127.369,31.5,860,43.52,0,1.831,220.8,69.8
2016/01/01 18:00,17316,47.9049,13.0669,43.7254,23.48,860,62.19,0.254,4.788,127,30
2016/01/01 19:00,17317,10.5148,0.0445097,10.1572,23.78,861,56.99,0,2.957,116.5,29.94
2016/01/01 20:00,17318,0.0824779,0,0.104712,24,861,53.04,0,2.742,131.3,28.82
2016/01/01 21:00,17319,0,0,0,24.62,862,52.39,0,1.63,113.2,47.11
2016/01/01 22:00,17320,0,0,0,24.23,862,67.65,0,1.371,58.46,48.45
2016/01/01 23:00,17321,0.0258584,0,0.0941603,23.4,863,66.7,0,2.226,38.51,48.52
2016/01/02 0:00,17322,0,0,0,21.82,864,77.78,0,3.762,70.76,28.27
2016/01/02 1:00,17323,0,0,0,21.48,864,78.08,0,2.584,114,28.69
