Date,RecNum,GHI_CMP11,DNI_CHP1,DHI_CMP11,Air_Temp,BP,RH,Rain_Tot,WS,WD,WD_SD
2017/02/18 10:00,1635068,397.734,4.0888,396.296,22.13,866,67.12,0,8.54,47.53,10.84
2017/02/18 10:01,1635069,374.647,0.943566,375.343,21.92,866,67.82,0,6.52,39.35,13.97
2017/02/18 10:02,1635070,388.368,30.8605,364.27,21.88,866,68.11,0,7.556,43.59,9.25
2017/02/18 10:03,1635071,359.919,1.23561,360.838,21.81,867,67.97,0,8.7,49.21,8.46
2017/02/18 10:04,1635072,343.146,1.28053,343.784,21.8,866,68.08,0,7.012,39.81,16.97
2017/02/18 10:05,1635073,319.064,1.30299,320.593,21.9,866,68.13,0,4.962,23.59,22.09
2017/02/18 10:06,1635074,324.517,0.853678,324.649,22.02,866,67.52,0,5.006,36.16,20.66
2017/02/18 10:07,1635075,486.87,64.6844,433.655,22.04,866,67.33,0,7.407,47.75,14.95
2017/02/18 10:08,1635076,865.609,403.112,535.595,22.03,866,67.58,0,5.253,359.5,23.62
2017/02/18 10:09,1635077,843.963,391.093,522.767,22.12,866,67.3,0,6.225,41.03,18.01
2017/02/18 10:10,1635078,495.911,31.4133,470.977,22.19,866,67.04,0,5.346,34.91,19.74
2017/02/18 10:11,1635079,885.875,453.487,508.75,22.22,866,66.8,0,7.466,47.83,11.75
2017/02/18 10:12,1635080,1079.77,734.906,471.312,22.37,866,65.93,0,5.463,42.35,23.79
2017/02/18 10:13,1635081,486.298,66.6958,431.869,22.56,866,65.29,0,8.57,44.69,14.53
2017/02/18 10:14,1635082,399.553,7.48044,397.784,22.35,866,65.54,0,9.84,41.65,7.965
2017/02/18 10:15,1635083,387.586,5.62338,384.229,22.14,866,66.22,0,9.57,49.18,7.459
2017/02/18 10:16,1635084,438.859,12.5419,429.107,22.15,866,65.71,0,9.68,45.72,13.44
2017/02/18 10:17,1635085,438.229,6.35701,435.663,22.15,866,65.72,0,7.495,26.39,18.25
2017/02/18 10:18,1635086,406.408,1.23546,407.133,22.14,866,66.1,0,9.12,40.02,15.25
2017/02/18 10:19,1635087,523.932,95.3767,445.836,22.06,866,66.47,0,8.94,35.42,12.94
2017/02/18 10:20,1635088,408.827,10.9767,401.741,22.02,866,66.56,0,8.17,30.79,9.37
2017/02/18 10:21,1635089,310.643,1.50497,311.344,22.01,866,66.71,0,7.882,28.21,14.12
2017/02/18 10:22,1635090,251.284,0.771195,251.713,21.99,866,66.68,0,8.33,31.63,13.3
2017/02/18 10:23,1635091,262.653,1.72207,261.629,22.09,866,66.59,0,5.542,48.37,18.66
2017/02/18 10:24,1635092,290.547,0.576515,292.39,22.15,867,66.06,0,10.43,47.51,10.85
2017/02/18 10:25,1635093,295.567,0.628924,298.108,21.98,866,66.73,0,9.95,44.34,9.76
2017/02/18 10:26,1635094,276.486,1.1081,277.596,21.95,866,66.7,0,10.29,45.89,12.97
2017/02/18 10:27,1635095,257.37,1.02574,258.086,21.93,866,66.81,0,8.81,42.3,11.11
2017/02/18 10:28,1635096,253.655,1.10061,253.023,21.98,866,66.8,0,4.889,36.96,26.38
2017/02/18 10:29,1635097,259.172,0.980808,258.32,22.13,866,66.04,0,7.786,50.91,13.22
2017/02/18 10:30,1635098,272.211,0.883473,272.834,22.16,866,66.54,0,4,37.83,22.83
2017/02/18 10:31,1635099,369.681,21.3605,352.135,22.24,866,65.9,0,7.278,50.6,13.23
2017/02/18 10:32,1635100,699.651,180.308,543.216,22.23,866,65.55,0,7.557,46.23,9.74
2017/02/18 10:33,1635101,660.331,114.318,560.48,22.26,866,65.52,0,9.64,48.92,11.9
2017/02/18 10:34,1635102,463.62,3.06215,463.516,22.18,866,65.84,0,9.26,46.17,11.7
2017/02/18 10:35,1635103,518.109,4.02046,519.63,22.12,866,66.03,0,10.63,43.88,7.588
2017/02/18 10:36,1635104,740.951,128.676,625.846,22.07,866,66.34,0,10.29,45.24,5.919
2017/02/18 10:37,1635105,665.745,65.7192,609.355,22.17,866,65.64,0,9.5,50.73,8.75
2017/02/18 10:38,1635106,641.906,86.9888,567.476,22.23,866,65.89,0,8.38,46.14,11.87
2017/02/18 10:39,1635107,744.719,251.667,522.675,22.34,866,65.78,0,6.566,26.03,14.9
2017/02/18 10:40,1635108,503.181,118.32,399.679,22.49,866,65.04,0,5.849,40.65,19.02
2017/02/18 10:41,1635109,311.983,0.973266,311.675,22.66,866,65.1,0,4.931,45.28,20.08
2017/02/18 10:42,1635110,306.914,1.11551,308.297,22.87,866,64.32,0,3.399,31.47,34.56
2017/02/18 10:43,1635111,322.424,0.479142,324.617,22.83,866,64.85,0,6.599,48.05,10.77
2017/02/18 10:44,1635112,338.408,1.0032,342.046,22.75,866,64.83,0,4.606,32.29,23.11
2017/02/18 10:45,1635113,389.198,7.98814,384.673,22.75,866,65.18,0,5.998,32.9,16.68
2017/02/18 10:46,1635114,364.25,0.598921,364.048,22.7,866,65.27,0,5.922,39.05,23.81
2017/02/18 10:47,1635115,461.555,51.9338,417.053,22.61,866,65.61,0,5.921,46.28,18.02
2017/02/18 10:48,1635116,613.739,132.353,498.419,22.57,866,65.15,0,6.625,44.63,10.49
2017/02/18 10:49,1635117,409.397,1.37002,412.052,22.44,866,65.82,0,6.958,43.99,11.86
2017/02/18 10:50,1635118,300.686,0.456672,301.19,22.47,866,65.87,0,4.662,40.95,14.57
2017/02/18 10:51,1635119,263.273,0.6064,261.576,22.61,866,65.45,0,4.399,41.06,22.52
2017/02/18 10:52,1635120,348.511,11.2595,341.141,22.66,866,65.36,0,6.022,32.42,15.28
2017/02/18 10:53,1635121,396.431,35.2534,367.195,22.74,867,64.38,0,7.569,55.92,11.73
2017/02/18 10:54,1635122,382.765,1.37001,384.936,22.65,866,64.98,0,8.95,45.29,11.97
2017/02/18 10:55,1635123,406.827,1.70689,409.137,22.61,866,64.61,0,7.633,59.73,15.72
2017/02/18 10:56,1635124,650.844,170.659,496.393,22.69,866,64.33,0,8.19,49.01,13.69
2017/02/18 10:57,1635125,887.949,342.508,575.704,22.66,866,64.64,0,7.476,39.44,11.41
2017/02/18 10:58,1635126,621.134,143.513,491.456,22.84,866,63.98,0,5.067,28.93,22.9
2017/02/18 10:59,1635127,1005.02,556.535,501.719,22.93,866,63.92,0,6.081,51.49,10.85
2017/02/18 11:00,1635128,898.086,456.045,485.714,22.95,866,62.92,0,8.19,47.92,11.55
2017/02/18 11:01,1635129,408.319,1.85661,411.091,22.83,866,63.98,0,5.968,43.59,13.74
2017/02/18 11:02,1635130,373.162,1.45235,373.825,22.97,866,63.54,0,5.967,14.13,18.54
2017/02/18 11:03,1635131,939.339,523.781,462.139,22.94,866,63.5,0,7.138,57.82,12.42
2017/02/18 11:04,1635132,474.279,39.5802,440.319,22.92,866,63.22,0,8.49,53.49,10.94
2017/02/18 11:05,1635133,353.094,15.3994,339.09,22.8,866,64,0,9.33,47.02,7.749
2017/02/18 11:06,1635134,305.707,2.82234,304.597,22.63,866,64.32,0,8.77,43.65,5.595
2017/02/18 11:07,1635135,341.174,6.19867,337.634,22.55,866,64.7,0,9.04,46.19,7.448
2017/02/18 11:08,1635136,354.54,7.28418,352.879,22.53,866,64.76,0,7.847,52.14,13.09
2017/02/18 11:09,1635137,267.364,0.91333,269.546,22.63,866,64.64,0,5.851,33.1,17.48
2017/02/18 11:10,1635138,224.276,0.673768,225.67,22.78,866,64.03,0,5.522,40.01,12.89
2017/02/18 11:11,1635139,215.203,0.449179,217.047,22.82,866,64.11,0,6.816,41.34,11.56
2017/02/18 11:12,1635140,271.335,14.5085,258.219,22.79,866,64.11,0,4.753,39.94,21.84
2017/02/18 11:13,1635141,684.496,293.658,405.314,22.85,866,63.83,0,4.02,48.52,12.88
2017/02/18 11:14,1635142,599.604,239.068,372.403,22.94,866,63.72,0,4.665,38.08,20.35
2017/02/18 11:15,1635143,295.432,2.42556,291.981,23,866,63.21,0,6.497,31.29,10.44
2017/02/18 11:16,1635144,390.358,60.669,330.437,23,866,63.58,0,5.418,47.77,14.78
2017/02/18 11:17,1635145,1089.39,649.227,485.597,23.12,866,63.36,0,6.679,47.18,15.71
2017/02/18 11:18,1635146,739.006,209.519,546.132,23.34,866,62.22,0,3.611,42.94,25.82
2017/02/18 11:19,1635147,560.195,52.5614,513.532,23.45,866,61.87,0,7.495,40.78,14.01
2017/02/18 11:20,1635148,845.043,355.794,512.612,23.21,866,62.74,0,9.66,47.31,10.66
2017/02/18 11:21,1635149,997.993,566.025,470.272,23.08,866,63.15,0,8.72,46.93,12.89
2017/02/18 11:22,1635150,1209.08,862.34,404.784,23.24,866,62.16,0,7.945,52.46,9.11
2017/02/18 11:23,1635151,1289.67,991.703,364.826,23.25,866,62.89,0,6.726,35.73,10.06
2017/02/18 11:24,1635152,1252.98,1021.81,300.431,23.5,866,61.43,0,5.859,43.54,14.85
2017/02/18 11:25,1635153,1244.47,1022.26,291.037,23.78,866,60.6,0,4.835,31.6,23.41
2017/02/18 11:26,1635154,832.725,540.122,331.07,23.96,866,60.78,0,2.421,25.33,29.46
2017/02/18 11:27,1635155,892.559,549.967,381.279,24.22,866,59.54,0,5.898,4.375,21.11
2017/02/18 11:28,1635156,1153.65,793.107,409.266,24.1,866,60.36,0,5.344,12.6,20.55
2017/02/18 11:29,1635157,328.375,4.82867,327.825,24.21,866,58.64,0,3.871,44.86,25.65
2017/02/18 11:30,1635158,271.282,1.34754,271.847,23.96,866,60.29,0,8.38,48.57,7.178
2017/02/18 11:31,1635159,265.677,1.34754,266.031,23.49,866,61.29,0,6.346,69.97,17.09
2017/02/18 11:32,1635160,255.567,1.3101,255.302,23.55,866,60.5,0,5.877,51.17,22.35
2017/02/18 11:33,1635161,269.05,1.65447,270.449,23.54,866,61.14,0,5.976,58.46,18.09
2017/02/18 11:34,1635162,828.677,562.356,299.235,23.59,866,61.53,0,5.285,24.33,22.21
2017/02/18 11:35,1635163,1065.99,788.136,322.303,23.81,866,60.72,0,5.326,9.47,20.88
2017/02/18 11:36,1635164,1100.56,839.499,310.084,23.9,866,60.6,0,4.27,31.51,23.76
2017/02/18 11:37,1635165,288.538,5.07572,287.005,24.08,866,60.64,0,4.136,16.53,26.08
2017/02/18 11:38,1635166,421.051,61.8069,363.152,24.05,866,59.38,0,6.311,20.88,17.64
2017/02/18 11:39,1635167,536.625,103.872,441.267,23.62,866,61.31,0,6.858,30.43,15.14
2017/02/18 11:40,1635168,1249.68,856.92,440.485,23.51,866,60.42,0,7.91,50.83,13.64
2017/02/18 11:41,1635169,1162.49,822.124,385.064,23.55,866,59.71,0,7.298,48.07,12.45
2017/02/18 11:42,1635170,500.244,161.068,353.051,23.66,866,59.38,0,7.123,44.09,10.08
2017/02/18 11:43,1635171,305.472,1.36251,308.6,23.61,865,60.32,0,6.938,51.78,11.8
2017/02/18 11:44,1635172,316.56,1.34754,316.677,23.63,865,60.33,0,7.499,72.66,12.18
2017/02/18 11:45,1635173,657.886,310.906,361.099,23.63,866,60.53,0,7.409,55.18,15.2
2017/02/18 11:46,1635174,854.075,489.844,389.471,23.38,866,61.21,0,8,52.63,7.601
2017/02/18 11:47,1635175,378.977,2.76245,380.082,23.33,866,61.24,0,6.973,58.27,12.9
2017/02/18 11:48,1635176,387.125,1.93147,387.452,23.45,866,60.83,0,7.99,49.33,11.03
2017/02/18 11:49,1635177,424.9,12.1203,416.1,23.33,866,60.89,0,6.867,39.85,14.55
2017/02/18 11:50,1635178,412.956,3.02447,414.661,23.36,866,59.74,0,7.749,44.84,9.44
2017/02/18 11:51,1635179,343.786,0.501583,345.641,23.13,866,61.21,0,7.505,51.92,7.408
2017/02/18 11:52,1635180,292.509,0.97322,295.001,23.06,866,61.58,0,6.493,50.6,9.14
2017/02/18 11:53,1635181,295.602,0.568959,298.47,23.16,866,61.57,0,6.016,55.52,10.91
2017/02/18 11:54,1635182,337.348,0.449178,338.382,23.25,866,61.7,0,6.78,48.57,8.79
2017/02/18 11:55,1635183,413.208,14.8304,402.121,23.22,866,61.97,0,7.357,55.78,8.8
2017/02/18 11:56,1635184,1399.72,982.085,464.499,23.27,866,61.88,0,6.978,63.7,13.7
2017/02/18 11:57,1635185,589.799,169.698,430.903,23.57,865,61.1,0,6.806,57.15,13.56
2017/02/18 11:58,1635186,407.932,1.85658,410.923,23.51,865,61.41,0,7.752,47.2,6.3
2017/02/18 11:59,1635187,431.496,1.09299,437.218,23.31,865,61.71,0,7.211,43.55,8.8
2017/02/18 12:00,1635188,437.265,1.34752,439.461,23.31,866,61.95,0,7.499,39.87,5.137
2017/02/18 12:01,1635189,723.028,275.066,457.075,23.33,866,61.82,0,6.14,47.89,12.4
2017/02/18 12:02,1635190,761.845,268.178,505.495,23.54,866,60.47,0,5.772,53.45,17.68
2017/02/18 12:03,1635191,805.295,296.386,526.664,23.67,866,60.13,0,3.554,55.31,21.83
2017/02/18 12:04,1635192,436.064,2.01379,440.876,23.9,866,60.05,0,3.36,41.56,27.41
2017/02/18 12:05,1635193,410.068,3.44364,411.911,24.24,866,58.69,0,2.524,39.11,25.2
2017/02/18 12:06,1635194,534.599,107.763,434.057,24.21,866,59.1,0,5.792,53.87,20.27
2017/02/18 12:07,1635195,571.213,132.834,450.497,23.95,865,58.78,0,8.04,45.31,10.26
2017/02/18 12:08,1635196,412.283,1.78918,419.234,23.79,866,58.83,0,7.897,44.07,11.05
2017/02/18 12:09,1635197,467.082,7.5235,468.192,23.81,865,58.48,0,6.979,43.12,16.09
2017/02/18 12:10,1635198,746.221,145.649,610.202,23.84,865,58.17,0,8.86,52.46,9.67
2017/02/18 12:11,1635199,884.235,247.197,650.158,23.93,865,58.48,0,6.622,49.93,16.58
2017/02/18 12:12,1635200,613.208,57.6576,564.05,23.97,865,58.09,0,8.1,39.59,9
2017/02/18 12:13,1635201,452.982,1.58704,458.037,23.89,865,58.8,0,6.261,42.03,19.11
2017/02/18 12:14,1635202,423.63,1.16033,428.658,23.97,865,57.91,0,6.597,31.48,20.66
2017/02/18 12:15,1635203,428.784,4.07987,429.964,23.91,865,58.3,0,7.156,25.62,12.5
2017/02/18 12:16,1635204,415.831,2.5602,418.157,23.9,865,58.71,0,6.254,24.37,18.07
2017/02/18 12:17,1635205,396.078,2.20086,398.096,23.9,865,58.61,0,5.754,19.68,20.35
2017/02/18 12:18,1635206,376.331,2.08856,377.788,23.94,865,58.34,0,5.668,21.65,22.71
2017/02/18 12:19,1635207,392.371,50.5368,344.4,23.87,865,58.91,0,7.798,12.42,12.13
2017/02/18 12:20,1635208,327.243,24.5982,303.762,23.77,865,59.6,0,7.272,10.33,14.49
2017/02/18 12:21,1635209,275.166,1.28005,274.798,23.73,865,59.78,0,6.347,20.31,11.23
2017/02/18 12:22,1635210,274.35,0.771021,273.398,23.74,865,59.95,0,4.407,27.39,23.26
2017/02/18 12:23,1635211,265.515,0.449133,264.847,23.89,865,59.79,0,5.256,53.32,10.46
2017/02/18 12:24,1635212,266.277,0.449124,264.882,24.02,865,59.14,0,5.562,67.26,17.08
2017/02/18 12:25,1635213,275.487,0.441634,275.222,24.08,865,59.33,0,6.896,65.89,12.03
