Time,Tin,Tout,G,Tam
1,25,26.1,150,23.89
2,25,26.8,162.7118644,23.89
3,25,27.2,175.4237288,23.89
4,25,28,188.1355932,23.89
5,25,28.5,200.8474576,23.89
6,25,29.1,213.559322,23.89
7,25,29.6,226.2711864,23.89
8,25,30.2,238.9830508,23.89
9,25,30.8,251.6949153,23.89
10,25,31.4,264.4067797,23.89
11,25,32,277.1186441,23.89
12,25,32.5,289.8305085,23.89
13,25,33.1,302.5423729,23.89
14,25,33.6,315.2542373,23.89
15,25,34.2,327.9661017,35
16,25,34.9,340.6779661,35
17,25,35.3,353.3898305,35
18,25,35.8,366.1016949,35
19,25,36.3,378.8135593,35
20,25,37,391.5254237,35
21,25,37.8,404.2372881,35
22,25,38.5,416.9491525,35
23,25,38.9,429.6610169,35
24,25,39.4,442.3728814,35
25,25,39.8,455.0847458,35
26,25,40.3,467.7966102,35
27,25,40.8,480.5084746,35
28,25,41.4,493.220339,35
29,25,41.8,505.9322034,35
30,25,42.4,518.6440678,38.89
31,25,42.8,531.3559322,38.89
32,25,43.3,544.0677966,38.89
33,25,43.8,556.779661,38.89
34,25,44.1,569.4915254,38.89
35,25,44.5,582.2033898,38.89
36,25,44.9,594.9152542,38.89
37,25,45.2,607.6271186,38.89
38,25,45.5,620.3389831,38.89
39,25,45.8,633.0508475,38.89
40,25,46.3,645.7627119,38.89
41,25,46.6,658.4745763,38.89
42,25,47.1,671.1864407,38.89
43,25,47.7,683.8983051,38.89
44,25,48.2,696.6101695,38.89
45,25,48.8,709.3220339,41.67
46,25,49.1,722.0338983,41.67
47,25,49.6,734.7457627,41.67
48,25,49.9,747.4576271,41.67
49,25,50.4,760.1694915,41.67
50,25,50.8,772.8813559,41.67
51,25,51.2,785.5932203,41.67
52,25,51.6,798.3050847,41.67
53,25,51.8,811.0169492,41.67
54,25,52.2,823.7288136,41.67
55,25,52.3,836.440678,41.67
56,25,52.5,849.1525424,41.67
57,25,53.1,861.8644068,41.67
58,25,53.2,874.5762712,41.67
59,25,53,887.2881356,41.67
60,25,53.2,900,42.78
61,25,53.3,0,42.78
62,25,54.2,0,42.78
63,25,51.8,0,42.78
64,25,50,0,42.78
65,25,49.5,0,42.78
66,25,49.2,0,42.78
67,25,49,0,42.78
68,25,48.7,0,42.78
69,25,48.5,0,42.78
70,25,48.2,0,42.78
71,25,48,0,42.78
72,25,47.8,0,42.78
73,25,47.6,0,42.78
74,25,47.3,0,42.78
75,25,47.2,0,35.56
76,25,47,0,35.56
77,25,46.8,0,35.56
78,25,46.6,0,35.56
79,25,46.3,0,35.56
80,25,46.1,0,35.56
81,25,45.8,0,35.56
82,25,45.5,0,35.56
83,25,45.5,0,35.56
84,25,45.3,0,35.56
85,25,45.1,0,35.56
86,25,45,0,35.56
87,25,44.7,0,35.56
88,25,44.6,0,35.56
89,25,44.3,0,35.56
90,25,44.1,0,31.11
91,25,44,0,31.11
92,25,43.8,0,31.11
93,25,43.6,0,31.11
94,25,43.6,0,31.11
95,25,43.3,0,31.11
96,25,43.2,0,31.11
97,25,43,0,31.11
98,25,42.8,0,31.11
99,25,42.7,0,31.11
100,25,42.5,0,31.11
101,25,42.3,0,31.11
102,25,42.2,0,31.11
103,25,42.1,0,31.11
104,25,41.8,0,31.11
105,25,41.8,0,28.89
106,25,41.6,0,28.89
107,25,41.3,0,28.89
108,25,41.2,0,28.89
109,25,41.1,0,28.89
110,25,41.1,0,28.89
111,25,40.8,0,28.89
112,25,40.7,0,28.89
113,25,40.7,0,28.89
114,25,40.5,0,28.89
115,25,40.4,0,28.89
116,25,40.2,0,28.89
117,25,40.1,0,28.89
118,25,40,0,28.89
119,25,39.8,0,28.89
120,25,39.8,0,27.78
